Area,Date,date,Claims
Catoosa County,03/07/2020,Mar 07,14
Catoosa County,03/14/2020,Mar 14,13
Catoosa County,03/21/2020,Mar 21,14
Catoosa County,03/28/2020,Mar 28,326
Catoosa County,04/04/2020,Apr 04,1116
Catoosa County,04/11/2020,Apr 11,889
Catoosa County,04/18/2020,Apr 18,875
Catoosa County,04/25/2020,Apr 25,893
Catoosa County,05/02/2020,May 02,723
Catoosa County,05/09/2020,May 09,709
Catoosa County,05/16/2020,May 16,505
Catoosa County,05/23/2020,May 23,431
Catoosa County,05/30/2020,May 30,438
Catoosa County,06/06/2020,Jun 06,354
Catoosa County,06/13/2020,Jun 13,323
Catoosa County,06/20/2020,Jun 20,290
Catoosa County,06/27/2020,Jun 27,293
Catoosa County,07/04/2020,Jul 04,264
Catoosa County,07/11/2020,Jul 11,398
Catoosa County,07/18/2020,Jul 18,311
Catoosa County,07/25/2020,Jul 25,207
Charlton County,03/07/2020,Mar 07,1
Charlton County,03/14/2020,Mar 14,1
Charlton County,03/21/2020,Mar 21,3
Charlton County,03/28/2020,Mar 28,49
Charlton County,04/04/2020,Apr 04,118
Charlton County,04/11/2020,Apr 11,111
Charlton County,04/18/2020,Apr 18,155
Charlton County,04/25/2020,Apr 25,128
Charlton County,05/02/2020,May 02,175
Charlton County,05/09/2020,May 09,142
Charlton County,05/16/2020,May 16,123
Charlton County,05/23/2020,May 23,120
Charlton County,05/30/2020,May 30,125
Charlton County,06/06/2020,Jun 06,72
Charlton County,06/13/2020,Jun 13,77
Charlton County,06/20/2020,Jun 20,74
Charlton County,06/27/2020,Jun 27,61
Charlton County,07/04/2020,Jul 04,49
Charlton County,07/11/2020,Jul 11,102
Charlton County,07/18/2020,Jul 18,71
Charlton County,07/25/2020,Jul 25,54
Chatham County,03/07/2020,Mar 07,110
Chatham County,03/14/2020,Mar 14,100
Chatham County,03/21/2020,Mar 21,369
Chatham County,03/28/2020,Mar 28,6022
Chatham County,04/04/2020,Apr 04,15293
Chatham County,04/11/2020,Apr 11,10172
Chatham County,04/18/2020,Apr 18,8794
Chatham County,04/25/2020,Apr 25,8893
Chatham County,05/02/2020,May 02,8549
Chatham County,05/09/2020,May 09,7845
Chatham County,05/16/2020,May 16,6241
Chatham County,05/23/2020,May 23,5891
Chatham County,05/30/2020,May 30,5264
Chatham County,06/06/2020,Jun 06,4179
Chatham County,06/13/2020,Jun 13,4539
Chatham County,06/20/2020,Jun 20,3985
Chatham County,06/27/2020,Jun 27,3507
Chatham County,07/04/2020,Jul 04,3036
Chatham County,07/11/2020,Jul 11,3582
Chatham County,07/18/2020,Jul 18,3680
Chatham County,07/25/2020,Jul 25,2213
Chattahoochee County,03/07/2020,Mar 07,3
Chattahoochee County,03/14/2020,Mar 14,6
Chattahoochee County,03/21/2020,Mar 21,2
Chattahoochee County,03/28/2020,Mar 28,25
Chattahoochee County,04/04/2020,Apr 04,149
Chattahoochee County,04/11/2020,Apr 11,135
Chattahoochee County,04/18/2020,Apr 18,108
Chattahoochee County,04/25/2020,Apr 25,127
Chattahoochee County,05/02/2020,May 02,109
Chattahoochee County,05/09/2020,May 09,122
Chattahoochee County,05/16/2020,May 16,98
Chattahoochee County,05/23/2020,May 23,90
Chattahoochee County,05/30/2020,May 30,90
Chattahoochee County,06/06/2020,Jun 06,65
Chattahoochee County,06/13/2020,Jun 13,91
Chattahoochee County,06/20/2020,Jun 20,70
Chattahoochee County,06/27/2020,Jun 27,71
Chattahoochee County,07/04/2020,Jul 04,68
Chattahoochee County,07/11/2020,Jul 11,78
Chattahoochee County,07/18/2020,Jul 18,82
Chattahoochee County,07/25/2020,Jul 25,39
Chattooga County,03/07/2020,Mar 07,18
Chattooga County,03/14/2020,Mar 14,10
Chattooga County,03/21/2020,Mar 21,16
Chattooga County,03/28/2020,Mar 28,98
Chattooga County,04/04/2020,Apr 04,799
Chattooga County,04/11/2020,Apr 11,1700
Chattooga County,04/18/2020,Apr 18,676
Chattooga County,04/25/2020,Apr 25,544
Chattooga County,05/02/2020,May 02,370
Chattooga County,05/09/2020,May 09,751
Chattooga County,05/16/2020,May 16,433
Chattooga County,05/23/2020,May 23,339
Chattooga County,05/30/2020,May 30,924
Chattooga County,06/06/2020,Jun 06,265
Chattooga County,06/13/2020,Jun 13,322
Chattooga County,06/20/2020,Jun 20,198
Chattooga County,06/27/2020,Jun 27,206
Chattooga County,07/04/2020,Jul 04,283
Chattooga County,07/11/2020,Jul 11,351
Chattooga County,07/18/2020,Jul 18,230
Chattooga County,07/25/2020,Jul 25,169
Cherokee County,03/07/2020,Mar 07,56
Cherokee County,03/14/2020,Mar 14,65
Cherokee County,03/21/2020,Mar 21,236
Cherokee County,03/28/2020,Mar 28,4061
Cherokee County,04/04/2020,Apr 04,9857
Cherokee County,04/11/2020,Apr 11,6951
Cherokee County,04/18/2020,Apr 18,5785
Cherokee County,04/25/2020,Apr 25,5811
Cherokee County,05/02/2020,May 02,4797
Cherokee County,05/09/2020,May 09,5455
Cherokee County,05/16/2020,May 16,3611
Cherokee County,05/23/2020,May 23,3190
Cherokee County,05/30/2020,May 30,3057
Cherokee County,06/06/2020,Jun 06,2645
Cherokee County,06/13/2020,Jun 13,2477
Cherokee County,06/20/2020,Jun 20,2172
Cherokee County,06/27/2020,Jun 27,2068
Cherokee County,07/04/2020,Jul 04,1652
Cherokee County,07/11/2020,Jul 11,2121
Cherokee County,07/18/2020,Jul 18,1864
Cherokee County,07/25/2020,Jul 25,1410
Clarke County,03/07/2020,Mar 07,28
Clarke County,03/14/2020,Mar 14,53
Clarke County,03/21/2020,Mar 21,286
Clarke County,03/28/2020,Mar 28,2498
Clarke County,04/04/2020,Apr 04,4074
Clarke County,04/11/2020,Apr 11,3509
Clarke County,04/18/2020,Apr 18,3013
Clarke County,04/25/2020,Apr 25,3137
Clarke County,05/02/2020,May 02,2337
Clarke County,05/09/2020,May 09,2942
Clarke County,05/16/2020,May 16,2131
Clarke County,05/23/2020,May 23,2280
Clarke County,05/30/2020,May 30,1876
Clarke County,06/06/2020,Jun 06,1551
Clarke County,06/13/2020,Jun 13,1621
Clarke County,06/20/2020,Jun 20,1446
Clarke County,06/27/2020,Jun 27,1435
Clarke County,07/04/2020,Jul 04,1222
Clarke County,07/11/2020,Jul 11,1536
Clarke County,07/18/2020,Jul 18,1261
Clarke County,07/25/2020,Jul 25,1033
Clay County,03/07/2020,Mar 07,0
Clay County,03/14/2020,Mar 14,3
Clay County,03/21/2020,Mar 21,5
Clay County,03/28/2020,Mar 28,43
Clay County,04/04/2020,Apr 04,137
Clay County,04/11/2020,Apr 11,124
Clay County,04/18/2020,Apr 18,93
Clay County,04/25/2020,Apr 25,94
Clay County,05/02/2020,May 02,94
Clay County,05/09/2020,May 09,80
Clay County,05/16/2020,May 16,67
Clay County,05/23/2020,May 23,61
